"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"data/automatons/randaut.hoa:2052.1-2224.7",,3,51,113,113,0,1,9,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,4.10302,3,65,215,520,2,3,0,0,0
"data/automatons/randaut.hoa:2052.1-2224.7",,3,51,113,113,0,1,9,1,0,"autfilt","ok",0,0.00606993,3,51,113,113,0,1,9,1,0
"data/automatons/randaut.hoa:2225.1-2420.7",,3,58,129,129,0,1,14,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,4.42159,3,74,246,592,2,3,0,0,0
"data/automatons/randaut.hoa:2225.1-2420.7",,3,58,129,129,0,1,14,1,0,"autfilt","ok",0,0.00617393,3,58,129,129,0,1,14,1,0
"data/automatons/randaut.hoa:2421.1-2607.7",,4,53,125,125,0,1,10,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,13.9991,4,64,241,1024,2,3,0,0,0
"data/automatons/randaut.hoa:2421.1-2607.7",,4,53,125,125,0,1,10,1,0,"autfilt","ok",0,0.008544,4,53,125,125,0,1,10,1,0
"data/automatons/randaut.hoa:2608.1-2683.7",,3,24,43,43,0,1,2,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,1.93638,3,29,84,232,2,4,0,0,0
"data/automatons/randaut.hoa:2608.1-2683.7",,3,24,43,43,0,1,2,1,0,"autfilt","ok",0,0.00601776,3,24,43,43,0,1,2,1,0
"data/automatons/randaut.hoa:2684.1-2760.7",,3,24,44,44,0,1,3,1,0,"cat %H | build/bin/nba2dpa >%O","ok",0,1.71474,3,27,74,216,2,3,0,0,0
"data/automatons/randaut.hoa:2684.1-2760.7",,3,24,44,44,0,1,3,1,0,"autfilt","ok",0,0.00456112,3,24,44,44,0,1,3,1,0
