input.source,input.name,input.ap,input.states,input.edges,input.transitions,input.acc_sets,input.scc,input.nondetstates,input.nondeterministic,input.alternating,tool,exit_status,exit_code,time,output.ap,output.states,output.edges,output.transitions,output.acc_sets,output.scc,output.nondetstates,output.nondeterministic,output.alternating,,,
data/automatons/randaut.hoa:3204.1-3218.7,,2,3,3,3,0,3,0,0,0,cat %H | build/bin/nba2dpa >%O,ok,0,0.674907,2,5,9,20,2,5,0,0,0,106.6075454586,,17258.0769
data/automatons/randaut.hoa:3219.1-3308.7,,3,27,54,54,0,1,3,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,2.50696,3,36,112,288,2,4,0,0,0,72.1317284416,,10074.1369
data/automatons/randaut.hoa:3309.1-3442.7,,2,38,87,87,0,2,15,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,11.8794,2,186,684,744,2,4,0,0,0,0.77334436,,2463.1369
data/automatons/randaut.hoa:3443.1-3495.7,,2,15,29,29,0,1,3,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,1.21961,2,21,61,84,2,3,0,0,0,95.6560285521,,13310.2369
data/automatons/randaut.hoa:3496.1-3575.7,,3,24,47,47,0,3,2,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,2.37693,3,37,107,296,2,12,0,0,0,74.3573362249,,9874.3969
data/automatons/randaut.hoa:3576.1-3608.7,,3,10,14,14,0,2,1,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,1.28176,3,11,25,88,2,4,0,0,0,94.4441886976,,15717.6369
data/automatons/randaut.hoa:3609.1-3691.7,,2,25,49,49,0,1,5,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,1.8057,2,38,113,152,2,3,0,0,0,84.53515249,,9676.6569
data/automatons/randaut.hoa:3692.1-3775.7,,1,25,50,50,0,1,13,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,12.4003,1,212,423,424,2,3,0,0,0,1.96084009,,5719.8969
data/automatons/randaut.hoa:3776.1-3818.7,,1,13,21,21,0,5,3,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,0.764428,1,19,37,38,2,7,0,0,0,104.7669341672,,13775.7169
data/automatons/randaut.hoa:3819.1-3884.7,,1,20,37,37,0,4,9,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,75.301,1,1016,2031,2032,2,95,0,0,0,4134.618601,,773748.9369
data/automatons/randaut.hoa:3885.1-3976.7,,2,25,58,58,0,1,9,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,4.00209,2,85,304,340,2,3,0,0,0,48.9707443681,,2638.8769
data/automatons/randaut.hoa:3977.1-4026.7,,2,14,27,27,0,1,2,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,1.40185,2,24,73,96,2,3,0,0,0,92.1244834225,,12627.0169
data/automatons/randaut.hoa:4027.1-4101.7,,1,23,43,43,0,2,9,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,16.6075,1,235,469,470,2,4,0,0,0,31.44405625,,9727.8769
data/automatons/randaut.hoa:4102.1-4154.7,,2,15,29,29,0,1,3,1,0,cat %H | build/bin/nba2dpa >%O,ok,0,1.65268,2,21,61,84,2,3,0,0,0,87.3723911824,,13310.2369
